a,b,c,
155,322,799,
163,474,781,
123,377,716,
126,294,629,
227,393,776,
113,457,734,
124,272,757,
127,417,637,
147,266,604,
106,478,637,
115,439,797,
234,473,635,
73,399,678,
2,322,647,
4,499,706,
155,341,634,
160,480,601,
82,356,730,
20,500,775,
146,399,761,
0,412,776,
16,440,719,
42,453,757,
172,398,699,
105,456,755,
127,360,728,
227,467,782,
46,346,626,
41,463,749,
127,387,660,
52,327,635,
249,393,777,
174,284,697,
65,425,714,
226,362,738,
50,285,698,
140,378,631,
79,377,678,
200,435,751,
249,423,610,
236,392,707,
59,381,715,
121,425,732,
250,292,604,
137,293,753,
234,375,667,
136,476,642,
52,325,703,
125,343,604,
88,279,606,
196,391,798,
48,276,764,
20,334,610,
120,386,762,
23,360,607,
238,366,634,
184,374,776,
161,279,772,
187,410,654,
183,275,788,
141,318,630,
200,471,631,
16,345,607,
122,289,742,
237,320,762,
169,344,673,
53,444,661,
158,408,684,
162,389,784,
190,339,661,
217,343,623,
61,438,654,
13,462,794,
111,329,614,
65,277,658,
97,357,788,
24,272,627,
56,412,699,
126,376,628,
241,398,744,
35,280,605,
160,448,750,
0,321,658,
48,305,630,
103,496,713,
76,390,617,
34,413,760,
45,404,681,
161,308,684,
81,460,769,
125,401,703,
112,499,624,
145,388,789,
64,389,745,
69,270,641,
148,422,627,
12,398,669,
134,329,745,
41,432,781,
17,435,668,
136,336,705,
27,403,601,
161,263,629,
55,471,794,
130,471,683,
107,453,695,
179,389,737,
222,301,637,
0,308,775,
6,493,790,
219,390,750,
72,342,614,
110,439,614,
196,318,619,
222,278,765,
124,381,624,
145,379,762,
203,276,613,
134,420,613,
126,394,694,
169,287,670,
54,351,661,
54,465,737,
7,471,704,
241,343,793,
134,313,713,
99,262,720,
230,324,717,
217,428,781,
249,371,667,
36,278,756,
248,299,780,
150,314,666,
70,458,747,
127,468,771,
87,322,693,
243,500,734,
172,377,756,
104,474,660,
84,269,767,
123,382,740,
202,374,644,
223,371,603,
104,494,754,
112,461,787,
202,345,621,
241,497,740,
19,492,742,
82,368,655,
84,367,798,
195,419,774,
23,368,707,
177,386,729,
250,496,614,
207,364,709,
36,389,614,
81,355,696,
37,498,750,
194,418,607,
35,401,603,
110,456,752,
226,491,757,
205,354,776,
238,300,620,
2,294,725,
106,352,787,
25,498,728,
56,324,778,
56,367,732,
57,264,612,
181,447,652,
206,397,733,
241,420,661,
127,312,749,
172,422,657,
167,475,640,
187,427,619,
197,408,792,
27,358,656,
250,294,659,
37,425,771,
101,468,755,
3,269,681,
196,480,651,
13,489,720,
72,471,655,
227,405,691,
121,457,795,
163,413,794,
208,307,764,
90,383,625,
37,290,757,
130,460,734,
179,413,701,
163,318,789,
92,429,605,
195,498,701,
56,276,772,
152,385,780,
191,417,623,
80,437,696,
94,364,746,
50,322,759,
249,360,632,
67,356,758,
168,316,713,
9,394,757,
156,454,779,
48,283,724,
41,328,664,
95,421,775,
19,363,704,
116,353,647,
177,316,609,
119,330,663,
154,351,769,
25,377,742,
249,451,652,
225,469,722,
47,321,718,
169,318,692,
50,411,702,
43,376,759,
14,368,619,
40,478,773,
193,302,695,
59,303,689,
190,316,647,
23,408,689,
110,421,664,
32,373,625,
65,271,698,
212,310,691,
125,310,743,
1,329,624,
242,422,787,
170,492,738,
123,345,603,
216,368,760,
5,434,762,
187,351,743,
95,385,641,
0,388,672,
197,363,704,
222,466,722,
215,352,785,
180,342,683,
212,336,653,
97,416,705,
84,452,735,
76,409,604,
92,265,667,
108,352,782,
219,444,756,
192,440,763,
73,431,652,
8,491,617,
246,343,762,
172,265,740,
235,286,666,
197,348,797,
249,380,657,
192,326,674,
40,419,794,
211,426,622,
74,318,633,
250,401,606,
143,454,690,
133,406,727,
119,427,746,
214,326,704,
175,363,738,
242,343,782,
208,461,671,
131,313,719,
141,477,728,
22,287,632,
10,325,621,
207,361,713,
215,399,739,
161,398,671,
12,446,669,
108,382,748,
67,373,655,
221,474,796,
246,495,655,
122,263,654,
72,463,719,
44,338,640,
142,349,693,
162,366,654,
146,321,697,
1,470,726,
141,284,701,
98,405,695,
16,276,736,
50,372,732,
178,274,780,
95,419,627,
23,268,752,
49,318,673,
6,475,701,
167,423,767,
213,498,625,
66,486,800,
240,286,785,
56,416,735,
185,440,769,
140,330,724,
229,451,612,
8,403,651,
61,457,631,
250,419,791,
74,392,644,
219,318,742,
166,464,701,
52,274,617,
198,304,633,
191,376,648,
194,344,659,
163,448,654,
46,490,793,
250,417,617,
244,422,700,
76,296,626,
187,415,602,
118,409,788,
197,444,780,
46,300,699,
143,386,768,
79,362,757,
74,309,696,
62,468,620,
198,387,779,
161,442,714,
152,409,760,
103,295,714,
46,339,648,
178,356,650,
198,315,759,
4,478,697,
141,318,728,
169,364,699,
175,458,658,
74,262,600,
54,496,718,
125,445,740,
19,299,783,
199,352,748,
118,332,630,
200,313,625,
1,361,699,
100,279,745,
192,419,724,
45,349,633,
68,385,748,
18,285,757,
95,263,608,
41,299,655,
149,355,677,
72,386,775,
91,450,653,
82,270,790,
106,448,690,
204,487,742,
12,283,689,
166,319,614,
74,376,770,
156,495,784,
178,414,614,
72,444,684,
202,412,694,
55,418,738,
179,369,648,
133,293,745,
68,335,730,
111,339,714,
112,409,602,
204,499,739,
131,427,611,
120,470,660,
107,301,790,
250,412,682,
20,264,674,
129,436,745,
159,276,793,
246,490,796,
93,380,637,
141,329,634,
175,465,749,
115,299,660,
179,415,722,
115,410,603,
70,385,676,
192,466,742,
76,270,674,
172,483,675,
47,292,794,
155,357,617,
247,426,652,
170,498,732,
228,453,610,
177,465,624,
244,349,760,
170,413,634,
217,431,679,
161,448,628,
30,332,610,
30,484,759,
31,285,697,
233,486,721,
244,462,657,
238,453,690,
190,442,751,
0,428,792,
212,405,673,
192,491,604,
74,414,798,
93,452,721,
28,436,720,
223,480,627,
109,287,666,
212,448,717,
96,333,614,
149,324,641,
181,372,703,
100,413,800,
1,337,655,
126,464,705,
77,343,702,
4,476,793,
24,414,692,
203,490,687,
245,327,692,
145,432,782,
104,436,798,
146,271,685,
23,362,683,
158,436,671,
57,478,654,
241,271,764,
115,411,695,
225,396,776,
222,393,799,
118,367,700,
66,324,753,
51,469,622,
10,438,663,
118,491,668,
149,334,683,
26,345,600,
143,325,603,
31,470,604,
28,294,732,
69,438,626,
248,406,636,
127,265,640,
32,470,643,
6,428,626,
108,490,720,
161,442,627,
91,445,741,
184,437,646,
158,300,711,
142,386,679,
162,309,762,
18,348,755,
204,406,770,
236,267,703,
154,277,619,
11,492,749,
46,423,644,
160,416,730,
129,292,725,
171,421,637,
27,386,630,
10,308,696,
48,294,705,
42,443,677,
182,461,635,
42,497,782,
203,472,736,
23,428,630,
238,288,674,
59,469,728,
111,462,736,
230,435,778,
64,303,660,
134,497,650,
144,484,741,
201,467,771,
28,334,720,
62,303,692,
133,481,797,
224,367,652,
175,441,719,
155,397,764,
4,325,717,
165,348,714,
123,372,628,
245,491,606,
37,352,721,
151,383,661,
152,319,672,
227,351,763,
187,459,745,
122,360,765,
48,267,686,
6,336,650,
221,341,753,
185,349,735,
207,463,612,
235,461,710,
87,336,718,
70,272,616,
6,405,781,
241,308,756,
103,293,753,
154,440,736,
231,419,751,
93,306,689,
48,347,717,
124,268,625,
37,313,740,
36,287,682,
63,455,791,
166,358,775,
65,436,609,
122,490,675,
29,476,640,
32,413,759,
170,480,771,
151,274,644,
22,429,735,
18,449,635,
98,357,627,
111,463,640,
32,468,737,
141,265,798,
60,281,641,
164,481,799,
66,268,779,
155,391,645,
156,383,765,
137,452,698,
80,332,738,
3,484,775,
240,332,689,
204,362,694,
142,377,644,
188,458,689,
119,367,768,
145,331,650,
183,351,736,
104,372,763,
100,404,612,
177,341,641,
72,348,797,
247,313,706,
219,455,617,
197,275,795,
2,295,652,
9,433,612,
246,284,718,
66,443,629,
220,371,757,
81,379,640,
55,402,656,
111,474,799,
57,454,609,
151,342,688,
110,374,600,
48,371,672,
148,413,785,
145,384,700,
197,379,663,
21,346,671,
14,500,786,
23,346,676,
16,312,669,
163,295,644,
61,287,688,
121,401,639,
223,484,745,
9,364,767,
141,487,690,
30,469,649,
245,313,773,
141,388,798,
233,407,792,
61,319,703,
90,284,693,
